2026-04-23 15:07:06 | INFO     | photo_segregator.dimensionality_reduction | Fitting UMAP: 512d → 28d (n_neighbors=15, min_dist=0.0, metric=cosine)
2026-04-23 15:07:10 | ERROR    | photo_segregator.dimensionality_reduction | UMAP failed: Cannot use scipy.linalg.eigh for sparse A with k >= N. Use scipy.linalg.eigh(A.toarray()) or reduce k.. Returning original embeddings.
2026-04-23 15:07:10 | INFO     | photo_segregator | 
[9/13] Computing adaptive thresholds...
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold | Computing adaptive thresholds from 29 embeddings...
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold | === Adaptive Threshold Report ===
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |   Distance statistics:
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     mean: 0.9093
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     std: 0.2058
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     median: 0.9622
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     min: 0.0509
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     max: 1.1178
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     p5: 0.2470
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     p25: 0.8762
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     p50: 0.9622
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     p75: 1.0221
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     p95: 1.0813
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     num_pairs: 406
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |   Computed thresholds:
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     merge_threshold: 0.5000
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     split_threshold: 1.0221
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     review_threshold: 0.7000
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold |     reassign_threshold: 1.0000
2026-04-23 15:07:10 | INFO     | photo_segregator.adaptive_threshold | =================================
2026-04-23 15:07:10 | INFO     | photo_segregator | 
[10/13] Clustering with HDBSCAN...
2026-04-23 15:07:10 | INFO     | photo_segregator.clustering | Clustering 9 embeddings with HDBSCAN
2026-04-23 15:07:10 | INFO     | photo_segregator.clustering | HDBSCAN result: 4 clusters, 1/9 noise points (11.1%)
2026-04-23 15:07:10 | INFO     | photo_segregator | Combined: 20 known + 9 clustered
2026-04-23 15:07:10 | INFO     | photo_segregator | Clustering: 4 clusters, 1 noise
2026-04-23 15:07:10 | INFO     | photo_segregator | 
[11/13] Refining clusters...
2026-04-23 15:07:10 | INFO     | photo_segregator.cluster_refinement | Starting cluster refinement on 29 faces
2026-04-23 15:07:10 | INFO     | photo_segregator.cluster_refinement |   Noise reassignment: 1 → 0 noise points
